title;released;gf_score;metascore;genre;description;cover_art_url;graphics_pal;music_pal;gameplay_pal;total_pal;notes_pal_ntsc_j;name_variants;score_reasoning;description_es
Super Monaco GP;1990;3.66;n/a;Racing - Simulation - Automobile;Super Monaco GP (スーパーモナコGP) is a Formula One racing simulation video game released by Sega, originally as a Sega X Board arcade game in 1989, followed by ports for multiple video game consoles and home computers in the early 1990s. It is the sequel to the 1979 arcade game Monaco GP;https://images.launchbox-app.com/d0c2f17b-157d-488c-a651-3132087fecf5.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Super Monaco GP;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Super Monaco GP es un juego de carreras de Fórmula 1 de Sega. Propone un modo de temporada con rivalidades y progresión, además de circuitos rápidos inspirados en el campeonato de monoplazas.
Urban Strike;1994;3.66;n/a;Action - Shooter - Shoot-'Em-Up - Top-Down;Urban Strike is a video game developed and published by Electronic Arts. It was initially released for the Sega Genesis in 1994, with ports to the Super Nintendo Entertainment System and Game Gear in 1995 and to the Game Boy in 1996. It is the third game in the Strike series, after Desert Strike: Return to the Gulf and Jungle Strike.;https://images.launchbox-app.com/bd37672e-a48e-4530-a404-50003d9236c9.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Urban Strike;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Urban Strike es la tercera entrega de la serie Strike. Combina misiones de acción estratégica con helicópteros y vehículos terrestres en escenarios urbanos, con objetivos múltiples y gestión de recursos.
World Series Baseball;1994;3.66;n/a;Sports - Team - Baseball - Sim;Sega Sports' World Series Baseball, or simply World Series Baseball, is a sports game developed by BlueSky Software and published by Sega for the Genesis/Mega Drive and Game Gear. It is the first game in the series and was originally released in 1994. A version for the Sega 32X, World Series Baseball starring Deion Sanders, would follow in 1995;https://images.launchbox-app.com/246bf02c-4be3-4c0b-a889-81020edaf63c.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;World Series Baseball;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;World Series Baseball es un juego de béisbol de Sega Sports para Mega Drive. Ofrece equipos, partidos y una presentación televisiva temprana que sentó las bases de futuras entregas de la serie.
The Misadventures of Flink;Canceled;3.66;n/a;Action - Platformer - 2D;Flink (released in North America as The Misadventures of Flink) is a 2D scrolling platform video game developed by Psygnosis. The Amiga CD32 and Sega CD versions are reliant on CD-ROM media to store large levels, highly detailed graphics, and high-quality music. The Mega Drive version is a cut-down version.;https://images.launchbox-app.com/a011ed48-b861-4799-a5d9-4ef3c450673d.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;The Misadventures of Flink;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;The Misadventures of Flink es un plataformas de fantasía protagonizado por un joven mago. La versión de Mega Drive adapta una aventura originalmente diseñada para formatos con CD, con escenarios, enemigos y hechizos.
The Great Circus Mystery Starring Mickey & Minnie;1994-06-02;3.66;n/a;Action - Platformer - 2D;Disney's Magical Quest is a Disney platform game trilogy released by Capcom. The games star Mickey Mouse and, (depending on the game version), either Minnie Mouse or Donald Duck, who must defeat Peg-Leg Pete. The gameplay is similar among all games in the series: the player must move as in a typical platform game, defeating enemies either by jumping on them or by grabbing and throwing blocks at them.;https://images.launchbox-app.com/9f395340-474f-4d8d-8fcd-59a06e0d872d.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;The Great Circus Mystery Starring Mickey & Minnie;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;The Great Circus Mystery es un plataformas de Disney protagonizado por Mickey y Minnie. Ambos recorren un circo encantado, usan disfraces con habilidades distintas y colaboran para rescatar personajes.
Eternal Champions;1993-12-11;3.66;n/a;Action - Fighting - 2D;"Eternal Champions is a 1993 fighting game developed and published by Sega for the Sega Genesis. It was one of the few fighting games of its time developed from the ground up as a home console title, rather than being released in arcades first and later ported to home systems. Sega released Eternal Champions in hopes of capitalizing on the fighting game mania that the game industry was in the midst of following the massive success of Street Fighter II (1991) and Mortal Kombat (1992). The game tried to set itself apart with unique features such as a heavier emphasis on its story, characters pulled from different time periods, reflectable projectiles, force fields, fighters that carried weapons, a training mode where players had to defend themselves against robotic traps, a novel method of executing moves, and elaborate stage-specific finishing moves called ""Overkills""";https://images.launchbox-app.com/91197326-1968-4642-9f46-fe83a34675df.jpg;8;8;7;8;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Eternal Champions;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Eternal Champions es un juego de lucha creado por Sega para consolas domésticas. Reúne guerreros de distintas épocas, movimientos especiales, armas, proyectiles y remates de escenario llamados Overkills.
NHL 95;1995;3.65;n/a;Sports - Team - Ice Hockey - Sim;NHL 95 (also known as NHL Hockey 95) is an ice hockey video game developed by Electronic Arts Canada. It was released in 1994 for the Super Nintendo Entertainment System and the Sega Genesis;https://images.launchbox-app.com/aebc0aff-172f-4adc-a76e-8f9d2b1d1d6a.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;NHL 95;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;NHL 95 es una entrega de hockey sobre hielo de EA Sports para Mega Drive. Mantiene los equipos profesionales, el ritmo rápido y las opciones de partido y temporada propias de la serie.
Ms. Pac-Man;1991;3.65;n/a;Action - Arcade;Ms. Pac-Man is the second game in the Pac-Man series, released in arcades in February 1982. Ms. Pac-Man introduced a female protagonist, four different mazes, more colorful graphics, and several gameplay changes.;https://images.launchbox-app.com/4a13dc30-0892-4de5-86e2-2f43e7f70c22.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Ms. Pac-Man;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Ms. Pac-Man es un clásico arcade de laberintos en el que se recogen puntos mientras se evita a los fantasmas. Añade varios mapas, rutas menos previsibles y una protagonista distinta respecto al Pac-Man original.
Fantastic Dizzy;1993;3.65;n/a;Adventure - General;The game was originally intended to be released in time for Christmas in 1990, but because of a legal action between Codemasters and Nintendo over the Game Genie the title was released in April 1991, making it miss the Christmas rush it was originally slated for. Furthermore, only sold 125,000 units instead of the expected 500,000. Despite this, the game was awarded the 'NES Adventure Game of the Year 1991' by Game Players Magazine and given the coveted 'Parents Choice Award'.;https://images.launchbox-app.com/3d621ca9-87cd-462b-ab64-98611a6e3b78.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Fantastic Dizzy;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Fantastic Dizzy es una aventura de puzles protagonizada por el personaje huevo de Codemasters. Explora escenarios conectados, recoge objetos y resuelve problemas para rescatar a sus amigos.
Warriors of the Eternal Sun;1992;3.64;n/a;Role-Playing - Western-Style;Warriors of the Eternal Sun is a role-playing video game developed for the Sega Genesis in 1992 by Westwood Associates. The game tells the story of a party of adventurers who have been transported to an unknown world and must survive against its hostile inhabitants while learning about their new home and seeking allies. It is based on the Dungeons & Dragons (D&D) game rules, and uses creatures and themes from the D&D Hollow World campaign setting, such as Blacklore elves, the Azcans, beastmen, Malpheggi lizardmen, and dinosaurs.;https://images.launchbox-app.com/e57f6b94-3352-463f-87ed-c402bc72f9d9.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Warriors of the Eternal Sun;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Warriors of the Eternal Sun es un RPG basado en las reglas de Dungeons & Dragons. Un grupo de aventureros llega a un mundo desconocido y debe explorar, combatir y encontrar aliados para sobrevivir.
Wings of Wor;1991;3.64;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;Wings of War is a World War I combat flight simulator developed by Czech studio Silver Wish Games and published by Gathering of Developers for Microsoft Windows and Xbox in 2004. The game was a standard wartime flight simulator with the underused setting of World War I. Players assume the role of a Royal Air Force pilot fighting the Luftstreitkräfte in several missions.;https://images.launchbox-app.com/0949541e-b726-495e-8927-716668336bac.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Wings of Wor;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Wings of Wor, conocido en Japón como Gynoug, es un shooter horizontal de fantasía oscura. El jugador controla a un ángel guerrero, usa armas mejorables y combate criaturas grotescas en escenarios de pesadilla.
Ghostbusters;1990-06-29;3.63;n/a;Action - Platformer - 2D;Ghostbusters is a 1984 American fantasy comedy film produced and directed by Ivan Reitman and written by Dan Aykroyd and Harold Ramis. It stars Bill Murray, Aykroyd and Ramis as Peter Venkman, Ray Stantz and Egon Spengler, eccentric parapsychologists who start a ghost-catching business in New York City. Sigourney Weaver and Rick Moranis co-star as their client Dana Barrett and her neighbor Louis Tully.;https://images.launchbox-app.com/d99216fc-cfc3-4dd9-8727-b1cc42f7678f.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Ghostbusters;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Ghostbusters es un juego de acción basado en la película y protagonizado por los cazafantasmas. Combina desplazamiento lateral, trampas, disparos y persecuciones de espectros por distintos escenarios urbanos.
King's Bounty: The Conqueror's Quest;1991;3.63;n/a;Strategy - Turn-Based - General;"King's Bounty is a turn-based fantasy video game designed by Jon Van Caneghem and published by New World Computing in 1990. The game follows the player's character, a hero of King Maximus, appointed with the job of retrieving the Sceptre of Order from the forces of chaos, led by Arech Dragonbreath. King's Bounty is notably considered the forerunner of the Heroes of Might and Magic series of games, while it was itself clearly ""inspired"" by the game Chaos: The Battle of Wizards for the ZX Spectrum.";https://images.launchbox-app.com/3f667c62-af32-4b84-a2a0-13744f68f00c.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;King's Bounty: The Conqueror's Quest;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;King's Bounty es un juego de estrategia por turnos y fantasía. El héroe recluta tropas, visita castillos, busca tesoros y combate ejércitos mientras intenta recuperar el Cetro del Orden.
Mega Games 2;1993;3.63;n/a;Miscellaneous - Compilation;A megagame is a type of large-scale simulation which can contain elements of role-playing games, tabletop games, LARPs and wargames - the amount of these is dependant on the scenario being played and the way the players choose to engage with the scenario. Participants can be arranged into hierarchies of teams - some games will consist of multiple competing factions and others will have teams operating in different game 'niches'. Megagames have been played with up to 300 people, though are more usually played with 30-80 players.;https://images.launchbox-app.com/9dfbf1a8-5b12-4334-8ffb-2280994b8a87.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Mega Games 2;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Mega Games 2 es una recopilación para Mega Drive que reúne varios juegos de Sega en un único cartucho. Incluye una selección de títulos de acción, deportes y conducción para ampliar la biblioteca de la consola.
Dragon Ball Z: Buyuu Retsuden;1994;3.62;n/a;Action - Fighting - 2D;"Dragon Ball Z: Buyū Retsuden, released as Dragon Ball Z: L'Appel du Destin (Dragon Ball Z: The Call of Destiny) in France and Spain and as Dragon Ball Z in Portugal, is a fighting game released for the Sega Genesis/Mega Drive based on the Dragon Ball franchise. Due to the popularity of the Dragon Ball Z anime in these European countries, it was released in Japan on April 1, 1994, and in Europe (France and Spain) in June 1994. The French/Spanish version was renamed Dragon Ball Z: L'Appel du Destin (""The Call of Destiny"") and has the game translated to French language and the instruction booklet in French and Spanish languages. The game was also distributed in Portugal in 1996 where it is called Dragon Ball Z. The distributor, Ecofilmes, would take Japanese copies of the game, replace the cover and the manual (but keep the cart), and sell the game as is, promising a free converter cart as the Japanese cartridges cannot fit into European Mega Drives. When the French version came out, they switched to using that version instead.";https://images.launchbox-app.com/81d3a2e9-48c7-4c62-8762-4deabaa7e185.png;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Dragon Ball Z: Buyuu Retsuden;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Dragon Ball Z: Buyuu Retsuden es un juego de lucha basado en el anime Dragon Ball Z. Permite elegir a varios guerreros, ejecutar ataques especiales y librar combates uno contra uno con estética de la serie.
Ecco the Dolphin;1993-07-29;3.62;n/a;Action - Platformer - 2D;Ecco the Dolphin is an action-adventure game originally developed by Ed Annunziata and Novotrade International for the Sega Genesis known as the Mega Drive in regions outside of North America and published by Sega in 1992. Ecco the Dolphin was republished digitally via Nintendo's Virtual Console in 2006, Microsoft's Xbox Live Arcade, Steam, iOS, and Nintendo 3DS;https://images.launchbox-app.com/816f7d44-eaaa-4c1d-97e3-a79a40618110.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Ecco the Dolphin;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Ecco the Dolphin es una aventura submarina protagonizada por un delfín que debe encontrar a su manada. Combina exploración, sonar, puzles y una atmósfera misteriosa de ciencia ficción.
Buck Rogers: Countdown to Doomsday;1991;3.61;n/a;Role-Playing - Western-Style;Buck Rogers: Countdown to Doomsday is a role-playing video game released by Strategic Simulations in 1990, set in the Buck Rogers XXVC game setting.;https://images.launchbox-app.com/7f4210ab-903d-4388-ac56-0bd267ac5c62.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Buck Rogers: Countdown to Doomsday;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Buck Rogers: Countdown to Doomsday es un RPG de ciencia ficción basado en el universo Buck Rogers XXVC. El jugador forma un grupo de personajes, explora estaciones y planetas, y combate por turnos contra fuerzas enemigas.
Road Rash;1992-11-19;3.61;n/a;Racing - Arcade - Automobile;Road Rash is a motorcycle-racing video game series by Electronic Arts in which the player participates in violent, illegal street races. The series started on the Sega Genesis and was released on various other systems over the years. The game's title is based on the slang term for the severe friction burns that can occur in a motorcycle fall where skin comes into contact with the ground at high speed.;https://images.launchbox-app.com/072b5e06-a1a7-4595-96f5-f1d0e6594d26.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Road Rash;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Road Rash es un juego de carreras ilegales en motocicleta de Electronic Arts. Combina velocidad, adelantamientos y combate contra rivales y policías en carreteras abiertas con progresión de motos.
Sub-Terrania;1993;3.61;n/a;Action - Shooter - Shoot-'Em-Up - Top-Down;Sub-Terrania is a multidirectional shooter developed by Zyrinx and published by Scavenger. The game was released in North America and Europe for the Sega Genesis.;https://images.launchbox-app.com/6b096cd0-1102-430c-80fe-a3836562bd23.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Sub-Terrania;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Sub-Terrania es un shooter multidireccional protagonizado por una nave de rescate. El jugador explora cavernas, salva científicos, destruye instalaciones y gestiona el combustible mientras afronta una física exigente.
Golden Axe;1989-12-22;3.6;n/a;Action - Beat-'Em-Up - 2D;Golden Axe (ゴールデンアックス Gōruden Akkusu) is a series of side-scrolling, beat 'em up, arcade video games developed by Sega. The series takes place in a medieval-fantasy world where several heroes have the task of recovering the legendary Golden Axe, the mainstay element of the series.;https://images.launchbox-app.com/a8e0a0e1-69dd-4cd9-a02a-1341aaf2c554.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Golden Axe;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Golden Axe es un beat em up de fantasía medieval protagonizado por tres guerreros. Combina combate cuerpo a cuerpo, magia, monturas y cooperativo en una misión para recuperar el hacha legendaria.
Mickey Mania: The Timeless Adventures of Mickey Mouse;1994-11-01;3.59;n/a;Action - Platformer - 2D;Mickey Mania: The Timeless Adventures of Mickey Mouse is a 1994 platform video game developed by Traveller's Tales/Psygnosis and published by Sony Imagesoft for the Super Nintendo Entertainment System, Sega Genesis, and Sega CD. In the game, the player controls Mickey Mouse, who must navigate through various side-scrolling levels, each designed and based from classical Mickey Mouse cartoons. The game was later released on the PlayStation in 1996 as Mickey's Wild Adventure.;https://images.launchbox-app.com/260f1b1d-9bc2-48fa-b023-d8af5c74a1e0.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Mickey Mania: The Timeless Adventures of Mickey Mouse;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Mickey Mania es un plataformas que recorre la historia animada de Mickey Mouse. Cada fase se inspira en un corto clásico y combina animación muy cuidada, plataformas y escenas llenas de guiños a Disney.
Hellfire;1991;3.59;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;"The fires of Hell or lake of fire, terms used to describe Hell. Also sometimes referred to as ""The Flame of The Dead"" Due to its links to the underworld.";https://images.launchbox-app.com/bb6e23ff-ce3f-464d-b951-22613c186583.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Hellfire;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Hellfire es un shooter horizontal de Toaplan en el que la nave puede disparar en varias direcciones. Su sistema de armas, jefes y dificultad elevada lo orientan a jugadores experimentados.
Forgotten Worlds;1989-11-17;3.59;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;Forgotten Worlds, titled Lost Worlds (Japanese: ロストワールド Hepburn: Rosuto Wārudo) in Japan, is a side-scrolling shoot-'em-up game by Capcom originally released as a coin-operated video game in 1988. It is notable for being the first title released by Capcom for their CP System arcade game hardware;https://images.launchbox-app.com/0717fa5f-57f1-4f46-ab3d-c423ea9cb2df.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Forgotten Worlds;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Forgotten Worlds es un shooter horizontal de Capcom en el que dos guerreros voladores combaten en un mundo postapocalíptico. Su mecánica principal permite girar el arma en todas direcciones y comprar mejoras entre fases.
Gain Ground;1991-01-02;3.59;n/a;Action - Shooter - Shoot-'Em-Up - Top-Down;In Gain Ground, players control one of a set of characters at a time, each with different weapons. To beat a level, players must reach the exit point with at least one character or destroy all enemies on the level before time runs out. There are 40 levels in the arcade version of the game. The Master System and the Genesis/Mega Drive have 50 levels in the game.;https://images.launchbox-app.com/a0a25c82-f817-4605-a528-062fd0872931.jpg;7;7;8;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Gain Ground;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Gain Ground es un juego de acción táctica en el que cada personaje tiene un arma y alcance distintos. Para superar las fases hay que eliminar enemigos o alcanzar la salida, eligiendo cuidadosamente a quién enviar.
Shining in the Darkness;1991-03-28;3.58;n/a;Role-Playing - Western-Style;Shining in the Darkness, released as Shining and the Darkness (シャイニング&ザ・ダクネス) in Japan, is a 1991 role-playing video game for the Sega Genesis video game console. It was one of the first role-playing games released for the system, and was the first in the Shining series.;https://images.launchbox-app.com/4fa01b28-bc6b-4189-a874-1f4173752585.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Shining in the Darkness;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Shining in the Darkness es un RPG de mazmorras en primera persona y la primera entrega de la saga Shining. Combina exploración de laberintos, combates por turnos y gestión de recursos en una aventura de fantasía.
Demolition Man;1995;3.85;n/a;Action - General;Demolition Man is a 1993 American science fiction action film that was Marco Brambilla’s directorial debut. The film stars Sylvester Stallone and Wesley Snipes. The film was released in the United States on October 8, 1993;https://images.launchbox-app.com/1e81b35a-0d64-4d41-b885-c401a16b7938.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Demolition Man;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Demolition Man es un juego de acción basado en la película protagonizada por Sylvester Stallone. Combina fases de desplazamiento lateral, disparos y secuencias de conducción en una adaptación de ciencia ficción para Mega Drive.
NBA Live '96;1995;3.57;n/a;Sports - Team - Basketball - Sim;"NBA Live 96 is the second installment of the NBA Live video games series. The PC and PlayStation covers features Shaquille O'Neal of the Orlando Magic, while the Super Nintendo Entertainment System and Sega Genesis box covers show a photo of the tip-off to Game 1 of the 1995 NBA Finals. The game was published by EA Sports and released on November 30, 1995. The PlayStation and PC versions were the first games in the series to feature a 3D rendered court, allowing for multiple camera angles using EA's ""Virtual Stadium"" technology (also used by FIFA Soccer 96). The on-court player graphics remained 2D sprites. It was also the first NBA Live game released for the PlayStation. NBA Live 96 is followed by NBA Live 97.";https://images.launchbox-app.com/b06fc4cb-a179-46a4-8174-f1fd7e1d2ff7.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;NBA Live '96;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;NBA Live '96 es un juego de baloncesto de EA Sports que amplía la fórmula de NBA Live 95. Mantiene la vista isométrica, equipos de la NBA y un enfoque de simulación con opciones de temporada y partidos rápidos.
Alien Storm;1991;3.56;n/a;Action - Beat-'Em-Up - 2D;Alien Storm (エイリアンストーム) is a 1990 beat 'em up/shooter arcade game by Sega. It was later ported to the Sega Mega Drive/Genesis and Master System. The Sega Mega Drive version was also released on Wii's Virtual Console in 2007. The game appeared in Sega Mega Drive Ultimate Collection for Xbox 360 and PlayStation 3.;https://images.launchbox-app.com/6d2a1ff8-b647-4f74-b4b6-fac4109e3c41.jpg;7;7;7;7;Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Alien Storm;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título correcto y entretenido, con virtudes claras aunque también algunas limitaciones de diseño o presentación.;Alien Storm es un juego de acción de Sega que mezcla beat em up y disparos. Los agentes del equipo Alien Busters combaten invasores extraterrestres en fases laterales y secuencias de tiro con una estética colorida y humorística.
